	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
1265	7626100						
1266	7626113						
1267	7626296						
1268	7626458						
1269	7626501						
1270	7626629						
1271	7627387						
1272	7627950	0.1877	0.2549	0.2165	0.2165	0.2568	0.2945
1273	7627958						
1274	7627974						
1275	7628015						
1276	7628240						
1277	7628438						
1278	7628519						
1279	7628558						
1280	7628607						
1281	7628693						
1282	7628698	0.8688	0.9148	0.8403	0.7667	0.7718	0.7954
1283	7629109						
1284	7629129						
1285	7629154						
1286	7629432						
1287	7629469						
1288	7629515						
1289	7629644						
1290	7630011						
1291	7630412	0.0	0.0	0.0461	0.0384	0.0372	0.1135
1292	7630420						
1293	7630422						
1294	7630479	0.0	0.0	0.0	0.0585	0.0585	0.0585
1295	7630600						
1296	7630630						
1297	7630633						
1298	7630638						
1299	7630736	0.3313	0.4525	0.5329	0.5221	0.5061	0.5578
1300	7631094						
1301	7631423						
1302	7631805						
1303	7632062						
1304	7632400						
1305	7632875						
1306	7633396						
1307	7633410						
1308	7633466						
1309	7633753						
1310	7634084						
1311	7634401						
1312	7634463						
1313	7634645						
1314	7634980						
1315	7635045	0.6278	0.6466	0.5769	0.5479	0.563	0.5922
1316	7635354						
1317	7635477						
1318	7635515						
1319	7635725						
1320	7635919						
1321	7635964						
1322	7635975						
1323	7636760						
1324	7636924						
1325	7637007						
1326	7637028						
1327	7637343						
1328	7637446						
1329	7637581						
1330	7637692						
1331	7637775						
1332	7637783						
1333	7637960						
1334	7638555						
1335	7638605						
1336	7638614						
1337	7638622						
1338	7638623						
1339	7638756						
1340	7639139						
1341	7639323	1.0	1.0	0.9563	0.9636	0.9424	0.9495
1342	7639764						
1343	7639964						
1344	7640148						
1345	7640212						
1346	7640286						
1347	7640344						
1348	7640419						
1349	7641184						
1350	7641418						
1351	7641735						
1352	7641811						
1353	7641892						
1354	7641893						
1355	7642087						
1356	7642212						
1357	7642258						
1358	7642518						
1359	7642566						
1360	7642624						
1361	7642641						
1362	7642724						
1363	7642754						
1364	7643084						
1365	7643102						
1366	7643126						
1367	7643225						
1368	7643396						
1369	7644016						
1370	7644022	1.0	0.9216	0.9094	0.8791	0.8593	0.818
1371	7644054						
1372	7644144						
1373	7644469						
1374	7644489						
1375	7644500	0.0	0.0784	0.0608	0.0506	0.0706	0.1206
1376	7644530						
1377	7645299						
1378	7645329						
1379	7645440						
1380	7645991						
1381	7646012						
1382	7646043	0.0	0.0	0.0154	0.0786	0.1315	0.2412
1383	7646056						
1384	7646434						
1385	7646448						
1386	7646561						
1387	7646655	0.1461	0.2508	0.2995	0.3375	0.409	0.4799
